id;nama_kat;kod;kod_myprojek;created_at;updated_at
1;Perubahan nama projek;D1;D1;2022-06-09 21:09;2022-06-09 21:09
2;Perubahan kod projek;D2;D2;2022-06-09 21:09;2022-06-09 21:09
3;Perubahan agensi;D4;D4;2022-06-09 21:09;2022-06-09 21:09
4;Perubahan bahagian;D5;D5;2022-06-09 21:09;2022-06-09 21:09
5;Perubahan lain-lain;D6;D6;2022-06-09 21:09;2022-06-09 21:09
6;Perubahan kawasan;D6.1;D6;2022-06-09 21:09;2022-06-09 21:09
7;Perubahan cara pembiayaan;D6.2;D6;2022-06-09 21:09;2022-06-09 21:09
8;Perubahan sektor utama;D6.3;D6;2022-06-09 21:09;2022-06-09 21:09
9;Perubahan lokasi;D6.4;D6;2022-06-09 21:09;2022-06-09 21:09
10;Penambahan projek baru;D7;D7;2022-06-09 21:09;2022-06-09 21:09
11;Kelulusan khas;D7.1;D7;2022-06-09 21:09;2022-06-09 21:09
12;Wujud semula butiran dengan kenaikan kos;D7.2;D7;2022-06-09 21:09;2022-06-09 21:09
13;Wujud semula butiran tanpa kenaikan kos;D7.3;D7;2022-06-09 21:09;2022-06-09 21:09
14;Perubahan kos dan siling;D8;D8;2022-06-09 21:09;2022-06-09 21:09
15;Perubahan kos;D8.1;D8;2022-06-09 21:09;2022-06-09 21:09
16;Agihan siling;D8.2;D8;2022-06-09 21:09;2022-06-09 21:09
17;Perubahan maklumat RMK;D9;D9;2022-06-09 21:09;2022-06-09 21:09
18;Perubahan skop;D10;D10;2022-06-09 21:09;2022-06-09 21:09
19;Perubahan skop;D10.1;D10;2022-06-09 21:09;2022-06-09 21:09
20;Perubahan objektif;D10.2;D10;2022-06-09 21:09;2022-06-09 21:09
21;Perubahan keterangan;D10.3;D10;2022-06-09 21:09;2022-06-09 21:09
22;Perubahan komponen;D10.4;D10;2022-06-09 21:09;2022-06-09 21:09
