id;nama;kumpulan;singkatan;created_at;updated_at
1;Pejabat Ketua Pengarah;kp;KP;2020-04-09 00:00:00;2020-05-06 09:00:00
2;Pejabat Timbalan Ketua Pengarah (SEKTORAL);tkp_sektoral;TKP(Sektoral);2020-04-09 00:00:00;2020-05-06 08:50:00
3;Pejabat Timbalan Ketua Pengarah (MAKRO);tkp_makro;TKP(Makro);2020-04-09 00:00:00;2020-05-06 08:50:00
4;Pejabat Timbalan Ketua Pengarah (DASAR);tkp_dasar;TKP(Dasar);2020-04-09 00:00:00;2020-05-06 08:55:00
5;Pejabat Pengarah Kanan (Pengurusan);kp;PKP;2020-04-09 00:00:00;2020-05-06 08:55:00
6;Bahagian Infrastruktur dan Kemudahan Awam;tkp_sektoral;BINFRA;2020-04-09 00:00:00;2020-06-18 14:07:00
7;Bahagian Pertanian;tkp_sektoral;BTANI;2020-04-09 00:00:00;2020-06-18 14:07:00
8;Bahagian Pengurusan Nilai;tkp_sektoral;BPN;2020-04-09 00:00:00;2020-06-18 14:07:00
9;Bahagian Tenaga;tkp_sektoral;BTENAGA;2020-04-09 00:00:00;2020-06-18 14:08:00
10;Bahagian Keselamatan dan Ketenteraman Awam;tkp_sektoral;BKKA;2020-04-09 00:00:00;2020-06-18 14:08:00
11;Unit Statistik;tkp_makro;USTAT;2020-04-09 00:00:00;2020-06-18 14:02:00
12;Bahagian Ekonomi Makro;tkp_makro;BEM;2020-04-09 00:00:00;2020-06-18 14:00:00
13;Bahagian Industri Perkhidmatan;tkp_makro;BIP;2020-04-09 00:00:00;2020-06-18 14:03:00
14;Bahagian Industri Pembuatan Sains dan Teknologi;tkp_makro;BIPST;2020-04-09 00:00:00;2020-06-18 14:04:00
15;Bahagian Bajet Pembangunan;tkp_makro;BBP;2020-04-09 00:00:00;2020-06-18 14:05:00
16;Bahagian K-Ekonomi;tkp_makro;BKE;2020-04-09 00:00:00;2020-06-18 14:05:00
17;Bahagian Ekonomi Alam Sekitar Dan Sumber Asli;tkp_makro;BEASSA;2020-04-09 00:00:00;2020-06-18 14:05:00
18;Bahagian Pembangunan Ekuiti;tkp_dasar;BPE;2020-04-09 00:00:00;2020-05-06 09:00:00
19;Unit Audit Dalam;kp;UAD;2020-04-09 00:00:00;2020-05-06 08:55:00
20;Bahagian Perkhidmatan Sosial;tkp_dasar;BPS;2020-04-09 00:00:00;2020-05-06 09:00:00
21;Bahagian Pembangunan Wilayah;tkp_dasar;BPW;2020-04-09 00:00:00;2020-05-06 09:37:00
22;Bahagian Pembangunan Modal Insan;tkp_dasar;BPMI;2020-04-09 00:00:00;2020-05-06 09:38:00
23;Bahagian Penyelarasan, Kawalan dan Pemantauan;tkp_dasar;BPKP;2020-04-09 00:00:00;2020-05-06 09:38:00
24;Bahagian Perancangan Strategik dan Kerjasama Antarabangsa;tkp_dasar;BPSKA;2020-04-09 00:00:00;2020-06-18 14:00:00
25;Bahagian Khidmat Pengurusan dan Kewangan;kp;BKPK;2020-04-09 00:00:00;2020-05-06 08:57:00
26;Bahagian Sumber Manusia;kp;BSM;2020-04-09 00:00:00;2020-05-06 08:57:00
27;Bahagian Akaun;kp;Akaun;2020-04-09 00:00:00;2020-05-06 09:00:00
28;Bahagian Pengurusan Maklumat;tkp_makro;BPM;2020-04-09 00:00:00;2020-06-18 14:05:00
29;Unit Komunikasi Korporat;kp;UKK;2020-04-09 00:00:00;2020-05-06 08:56:00
30;Bahagian Pembangunan;tkp_sektoral;BP;2020-04-09 00:00:00;2020-06-18 14:09:00
31;Unit Undang-Undang;kp;PUU;2020-04-09 00:00:00;2020-05-06 08:56:00
32;Sekretariat Majlis Tindakan Ekonomi;tkp_dasar;MTEN;2020-04-09 00:00:00;2020-06-18 14:00:00
33;Unit Integriti;kp;Integriti;2020-04-09 00:00:00;2020-05-06 08:56:00
