id;nama_jabatan;sgktn_jabatan;created_at;updated_at
1;Kementerian Perdagangan Antarabangsa dan Industri;MITI;2022-06-03;2022-06-03
2;Kementerian Perdagangan Dalam Negeri dan Hal Ehwal Pengguna;KPDNHEP;2022-06-03;2022-06-03
3;Kementerian Perusahaan Perladangan dan Komoditi;MPIC;2022-06-03;2022-06-03
4;Kementerian Kewangan;MOF;2022-06-03;2022-06-03
5;Kementerian Pembangunan Usahawan dan Koperasi;MEDAC;2022-06-03;2022-06-03
6;Kementerian Pelancongan, Kesenian dan Kebudayaan;MOTAC;2022-06-03;2022-06-03
7;Kementerian Pertahanan;MINDEF;2022-06-03;2022-06-03
8;Kementerian Luar Negeri;KLN;2022-06-03;2022-06-03
9;Kementerian Perpaduan Negara;KPN;2022-06-03;2022-06-03
10;Kementerian Dalam Negeri;KDN;2022-06-03;2022-06-03
11;Kementerian Pendidikan;MOE;2022-06-03;2022-06-03
12;Kementerian Kesihatan;MOH;2022-06-03;2022-06-03
13;Kementerian Sumber Manusia;MOHR;2022-06-03;2022-06-03
14;Kementerian Komunikasi dan Multimedia;KKMM;2022-06-03;2022-06-03
15;Kementerian Wanita dan Keluarga;KPWKM;2022-06-03;2022-06-03
16;Kementerian Pengajian Tinggi;MOHE;2022-06-03;2022-06-03
17;Kementerian Belia dan Sukan;KBS;2022-06-03;2022-06-03
18;Kementerian Kerja Raya;KKR;2022-06-03;2022-06-03
19;Kementerian Perumahan dan Kerajaan Tempatan;KPKT;2022-06-03;2022-06-03
20;Kementerian Pengangkutan;MOT;2022-06-03;2022-06-03
21;Kementerian Pembangunan Luar Bandar;KPLB;2022-06-03;2022-06-03
22;Kementerian Wilayah Persekutuan;KWP;2022-06-03;2022-06-03
23;Kementerian Tenaga dan Sumber Asli;KATS;2022-06-03;2022-06-03
24;Kementerian Pertanian dan Industri Makanan;MOA;2022-06-03;2022-06-03
25;Kementerian Sains,  Teknologi dan Inovasi;MOSTI;2022-06-03;2022-06-03
26;Kementerian Alam Sekitar dan Air;DOE;2022-06-03;2022-06-03
